"date","temp","rhum","wdsp","vis","elpower","houtemp","s.rain","s.sun"
2017-10-12,16.5,86,17,30000,39,16.3,0,0
2017-10-13,16.4791666666667,88.7083333333333,14.125,23333.3333333333,300.916666666667,16.8458333333333,3.9,1.4
2017-10-14,15.25,86.625,9.66666666666667,20750,306.541666666667,17.1958333333333,3.5,1.7
2017-10-15,14.2958333333333,86.7083333333333,10.9166666666667,20304.1666666667,231.708333333333,17.1791666666667,1.7,0.7
2017-10-16,13.95,84.4166666666667,20.5,12766.6666666667,492.791666666667,17.5625,0.8,1
2017-10-17,9.67272727272727,77.9545454545455,14.8636363636364,37045.4545454545,263.545454545455,16.9590909090909,0,7.2
2017-10-18,8.96666666666667,88.875,7.625,22433.3333333333,238.166666666667,16.35,0.1,1.3
2017-10-19,12.7791666666667,88.7916666666667,13.6666666666667,18666.6666666667,217.75,16.1416666666667,6.1,0
2017-10-20,9.78333333333333,85.3333333333333,14.625,25625,201.958333333333,16.0041666666667,3.1,2
2017-10-21,11.1791666666667,84.3333333333333,18.3333333333333,16666.6666666667,393,16.2333333333333,6.2,0.9
2017-10-22,9.6375,80,15.7083333333333,24583.3333333333,450.041666666667,15.9416666666667,0.1,2.6
2017-10-23,13.6375,84.5833333333333,7.625,26833.3333333333,205.625,16.0791666666667,0.9,0.4
2017-10-24,12.9541666666667,85,9.625,29666.6666666667,553.583333333333,17.3791666666667,6.9,0.2
2017-10-25,11.2375,84.125,10.2083333333333,31041.6666666667,335.5,16.8833333333333,0,4.2
2017-10-26,10.5875,91.6666666666667,3.75,25166.6666666667,290.375,16.5541666666667,0,0
2017-10-27,7.14583333333333,91.5416666666667,6.25,30208.3333333333,294.083333333333,16.7291666666667,0,9.2
2017-10-28,12.0583333333333,92.625,17.8333333333333,17583.3333333333,245.958333333333,16.2375,0,0
2017-10-29,9.66521739130435,84.6521739130435,10,26739.1304347826,391.478260869565,17.0869565217391,0.3,4.4
2017-10-30,7.36666666666667,87.125,5.375,27333.3333333333,549.791666666667,16.2333333333333,0.4,2.7
2017-10-31,11.6833333333333,85.2083333333333,9.16666666666667,31125,173.041666666667,16.0291666666667,0.5,0
2017-11-01,11.0041666666667,82.9583333333333,8.20833333333333,30000,217.916666666667,15.8375,0,6
2017-11-02,9.05,80.375,5.79166666666667,24083.3333333333,231.875,15.7333333333333,0,0.2
2017-11-03,8.80416666666667,79.7916666666667,5.83333333333333,26250,277.166666666667,15.35,0,2.7
2017-11-04,6.43478260869565,84.1739130434783,13.3913043478261,26521.7391304348,327.652173913043,15.0521739130435,0,6.2
2017-11-05,5.41666666666667,82.3333333333333,13.125,35625,702.916666666667,15.0666666666667,0,7.6
2017-11-06,9.6,79.5416666666667,11.5,28333.3333333333,249.5,14.7125,0,0.9
2017-11-07,6.61666666666667,83.625,11.9166666666667,34833.3333333333,154.041666666667,15.1,1.5,5.3
2017-11-08,6.21666666666667,88.4166666666667,10.3333333333333,30333.3333333333,466.666666666667,14.1291666666667,1.6,4.3
2017-11-09,10.2041666666667,84.3333333333333,13.125,21791.6666666667,405.458333333333,14.9625,0.8,5.5
2017-11-10,8.36666666666667,84.9583333333333,12.9583333333333,22083.3333333333,292.125,15.325,5.5,4.2
2017-11-11,7.08333333333333,96.0833333333333,5.75,16708.3333333333,414.75,14.95,7.6,0.2
2017-11-12,4.45,84.5833333333333,12.125,29583.3333333333,514.958333333333,15.275,0,6.8
2017-11-13,4.6875,85.4166666666667,10.5416666666667,30708.3333333333,246.458333333333,14.1083333333333,2.5,0.1
2017-11-14,10.4791666666667,93.875,11.7083333333333,18729.1666666667,407,14.925,1,0.1
2017-11-15,8.275,90.7916666666667,5.16666666666667,23666.6666666667,276.083333333333,14.7958333333333,0,0.9
2017-11-16,6.94782608695652,82.3913043478261,10.8695652173913,29565.2173913043,238.347826086957,15.4304347826087,0.8,5.3
2017-11-17,4.55,78.5416666666667,8.58333333333333,32916.6666666667,430.916666666667,14.4375,0,0.6
2017-11-18,6.05,94.2916666666667,6.66666666666667,18000,318.208333333333,14.1041666666667,1.2,0.1
2017-11-19,5.76666666666667,90.0416666666667,5.08333333333333,22625,248.208333333333,13.575,0.9,0.3
2017-11-20,12.2208333333333,92.9583333333333,13.625,16291.6666666667,528.416666666667,14.1041666666667,2,0.1
2017-11-21,12.8291666666667,89.5,12.875,24000,593.583333333333,15.7958333333333,0.4,0
2017-11-22,8.1375,96.875,7.91666666666667,10812.5,512.791666666667,15.9916666666667,51.9,0
2017-11-23,4.01666666666667,83.2083333333333,15.375,31625,182.5,14.475,0.2,3.1
2017-11-24,1.6875,87.8333333333333,11.4166666666667,31041.6666666667,177.458333333333,12.8708333333333,0.1,3.1
2017-11-25,1.69583333333333,89.0416666666667,15.2916666666667,22916.6666666667,375.958333333333,12.6708333333333,0,6.7
2017-11-26,4.7125,90.2916666666667,15.125,24916.6666666667,428.25,12.6416666666667,3.2,2
2017-11-27,6.1,86.6666666666667,17.375,27083.3333333333,222.166666666667,13.0666666666667,0.2,0.2
2017-11-28,2.98333333333333,87.3333333333333,11.7083333333333,27458.3333333333,333.583333333333,12.825,0,5.9
2017-11-29,1.79166666666667,87.3333333333333,11.0416666666667,36458.3333333333,222.416666666667,11.95,0,7.3
2017-11-30,2.42916666666667,86.8333333333333,10.9166666666667,31458.3333333333,302.791666666667,12.2833333333333,0.1,0.6
2017-12-01,1.82083333333333,85.375,8.875,27291.6666666667,243.916666666667,11.9833333333333,0,5.4
2017-12-02,5.475,97.5833333333333,10.9583333333333,11337.5,741.541666666667,13.5291666666667,0,0.1
2017-12-03,7.69583333333333,95.9583333333333,11,18604.1666666667,334.625,14.275,0.8,0
2017-12-04,6.82083333333333,91.9583333333333,9.91666666666667,20541.6666666667,288.625,14.4291666666667,0,0.1
2017-12-05,6.95217391304348,83.6521739130435,9.47826086956522,27260.8695652174,195.565217391304,14.104347826087,0,0.1
2017-12-06,11.1625,81.0416666666667,16.5,26875,406.458333333333,14.1416666666667,1.3,0.1
2017-12-07,5.6875,82.7083333333333,18.0416666666667,25916.6666666667,132.375,14.2291666666667,4.3,1.7
2017-12-08,0.829166666666667,89.625,15.0416666666667,27333.3333333333,287.416666666667,12.3,0.1,4.9
2017-12-09,0.604166666666667,88.25,8.75,29375,280.958333333333,11.3,0,0
2017-12-10,1.45833333333333,85,12.1666666666667,27625,369.75,10.7625,13.2,0
2017-12-11,-0.520833333333333,90.4583333333333,10.1666666666667,27708.3333333333,353,10.6708333333333,0,4.4
2017-12-12,2.93333333333333,90.5416666666667,11.4166666666667,20333.3333333333,236.333333333333,10.6416666666667,0.8,0
2017-12-13,4.3625,87.125,18,20958.3333333333,203.166666666667,10.9083333333333,4.7,2.5
